region,region,hemi,func_grad,x.mni,y.mni,z.mni,OMEGA_dir,HCP_dir,grad_1_coord,grad_2_coord
G occipital sup,RO,right,3,18.948,-85.935,31.252,1.334283756,1.352481517,-5.964366727,-6.425724887
G orbital,LPF,left,1,-27.36,30.677,-17.425,1.315842266,1.326932038,7.533023571,0.461878203
G orbital,RPF,right,1,26.58,30.04,-17.02,1.331257027,1.304031967,7.151114979,0.517125081
G pariet inf-Angular,LP,left,1,-42.927,-64.441,38.345,1.320570528,1.296737671,8.922035104,0.243767516
G pariet inf-Angular,RP,right,1,46.059,-60.622,39.301,1.31717792,1.308023658,8.610286919,0.148086307
G pariet inf-Supramar,LP,left,2,-55.777,-36.111,31.904,1.342852256,1.324646999,-0.191236449,1.197227008
G pariet inf-Supramar,RP,right,2,56.53,-31.724,30.782,1.351267138,1.32462204,-1.153136533,1.17756114
G parietal sup,LP,left,3,-18.662,-57.73,58.569,1.309943575,1.313941507,-4.105664399,-0.815715294
G parietal sup,RP,right,2,18.166,-53.808,60.08,1.341767397,1.310464355,-4.389133312,0.441071251
G postcentral,LC,left,2,-45.544,-25.929,54.949,1.31317184,1.307090876,-8.285550118,4.053388359
G postcentral,RC,right,2,45.826,-23.617,54.373,1.308557306,1.299210301,-8.366001343,4.080456115
G precentral,LC,left,2,-41.773,-9.72,51.554,1.318165668,1.308957102,-6.52831084,3.214296964
G precentral,RC,right,2,40.651,-8.156,53.418,1.358380785,1.342386434,-6.927680801,3.068067404
G precuneus,LP,left,1,-7.562,-58.501,45.07,1.321546867,1.323428944,4.173927782,0.02220122
G precuneus,RP,right,1,7.723,-59.505,46.822,1.333662563,1.335375519,3.290293369,0.033496609
G rectus,LPF,left,1,-5.893,36.009,-20.016,1.308602045,1.304869664,9.881194705,0.469430166
G rectus,RPF,right,1,6.54,33.631,-20.422,1.360067633,1.326838548,9.079950668,0.306254848
G subcallosal,LL,left,1,-5.987,15.553,-8.696,1.277875497,1.273260156,9.971579282,0.234955463
G subcallosal,RL,right,1,6.973,15.34,-11.926,1.46442809,1.48271166,9.269251043,0.376053247
G temp sup-G T transv,LT,left,2,-47.781,-21.011,5.17,1.339299247,1.331193451,-6.311403151,2.406477646
G temp sup-G T transv,RT,right,2,48.106,-19.114,5.111,1.30893243,1.305192449,-6.374688131,2.355561612
G temp sup-Lateral,LT,left,2,-59.331,-15.346,-0.934,1.360808764,1.316539338,-1.306315952,1.669217087
G temp sup-Lateral,RT,right,2,60.502,-12.851,-0.826,1.302609223,1.31909292,-1.916126696,1.814890138
G temp sup-Plan polar,LT,left,1,-37.993,2.343,-25.039,1.311137912,1.296926951,2.72688469,0.944508711
G temp sup-Plan polar,RT,right,1,40.349,3.752,-24.303,1.344487123,1.348183283,0.782119259,1.263064704
G temp sup-Plan tempo,LT,left,2,-57.002,-41.383,15.188,1.286124937,1.340606934,-2.959668555,2.170889757
G temp sup-Plan tempo,RT,right,2,58.087,-34.708,15.135,1.319404345,1.35339868,-4.652165209,2.158841892
G temporal inf,LT,left,1,-51.331,-37.894,-24.64,1.309858668,1.311711249,3.82497544,-0.220992375
G temporal inf,RT,right,1,52.585,-34.688,-23.578,1.331639651,1.338907897,3.44194106,-0.550105695
G temporal middle,LT,left,1,-58.882,-35.896,-12.614,1.313637027,1.297782278,7.648068992,0.426564128
G temporal middle,RT,right,1,59.788,-33.921,-12.556,1.345824137,1.351211922,6.490235537,0.251242552
Lat Fis-ant-Horizont,LF,left,1,-38.82,32.499,-2.872,1.30290026,1.33369938,6.991221331,0.933790838
Lat Fis-ant-Horizont,RF,right,1,41.415,30.224,2.684,1.326302699,1.261191185,4.183351498,0.988687389
Lat Fis-ant-Vertical,LF,left,1,-43.715,21.733,8.441,1.292032315,1.292575958,6.815231715,0.837151416
Lat Fis-ant-Vertical,RF,right,1,45.448,21.327,9.036,1.301905514,1.29206887,5.064340122,0.598771798
Lat Fis-post,LT,left,2,-39.745,-34.67,18.317,1.338431925,1.299042178,-6.723229559,2.846383026
Lat Fis-post,RT,right,2,38.608,-28.952,19.349,1.352069908,1.29853209,-6.892483169,2.909994577
Pole occipital,LO,left,3,-17.721,-97.276,-5.706,1.319821023,1.312676102,-2.236027104,-5.044529396
Pole occipital,RO,right,3,17.394,-94.985,-3.658,1.313108391,1.296452412,-2.926400124,-5.431257421
Pole temporal,LT,left,1,-34.89,2.935,-37.098,1.295771668,1.302315839,5.96347857,0.069770864
